model,view,k,mean,std
Pure-SI,semantic_alignment,10,0.026794669397223577,0.0002563694871913727
Pure-SI,semantic_alignment,20,0.03309203622098597,0.00017832931462010386
Pure-SI,semantic_alignment,30,0.038363047250297724,0.0005762826450350481
Pure-SI,semantic_alignment,40,0.04328920669123145,0.0003636928795343122
Pure-SI,semantic_alignment,50,0.047915719343888864,0.0005773822897884725
w/o Item-CL,semantic_alignment,10,0.03882873835544114,0.0009919291085817676
w/o Item-CL,semantic_alignment,20,0.046582130414656385,0.0007324064522929728
w/o Item-CL,semantic_alignment,30,0.053221883470339654,0.00012486073979058683
w/o Item-CL,semantic_alignment,40,0.06004032223649594,0.0003743981916232601
w/o Item-CL,semantic_alignment,50,0.06613420018607558,0.000681904031324217
w/o User-CL,semantic_alignment,10,0.04353764832518702,0.0012570959870202348
w/o User-CL,semantic_alignment,20,0.0545497076210359,0.0006148846005459606
w/o User-CL,semantic_alignment,30,0.06336631972940511,0.0003358732890584175
w/o User-CL,semantic_alignment,40,0.07174130187885648,0.0002135599932163475
w/o User-CL,semantic_alignment,50,0.07914795277269807,0.0004204405855738929
EchoRec,semantic_alignment,10,0.04490801601792314,0.0011152357151342613
EchoRec,semantic_alignment,20,0.053491335849710143,0.0011344792858511404
EchoRec,semantic_alignment,30,0.06135443854949021,0.0010931731128450016
EchoRec,semantic_alignment,40,0.06867028382174124,0.0010230183109662823
EchoRec,semantic_alignment,50,0.07547292624793651,0.0012189106137358674
w/o Match,semantic_alignment,10,0.04490801601792314,0.0011152357151342613
w/o Match,semantic_alignment,20,0.053491335849710143,0.0011344792858511404
w/o Match,semantic_alignment,30,0.06135443854949021,0.0010931731128450016
w/o Match,semantic_alignment,40,0.06867028382174124,0.0010230183109662823
w/o Match,semantic_alignment,50,0.07547292624793651,0.0012189106137358674
Pure-SI,structure_transfer,10,0.09104629440620153,0.0015967299068258105
Pure-SI,structure_transfer,20,0.1154858824658022,0.0028392798613858595
Pure-SI,structure_transfer,30,0.13238219279364852,0.002238934349691881
Pure-SI,structure_transfer,40,0.14543411055900066,0.002110188354261422
Pure-SI,structure_transfer,50,0.1561312094558516,0.0021147351520502374
w/o Item-CL,structure_transfer,10,0.17184170636724816,0.0010351754122441543
w/o Item-CL,structure_transfer,20,0.19976911810750966,0.0008307731436492766
w/o Item-CL,structure_transfer,30,0.21833529036316304,0.0011652956778937815
w/o Item-CL,structure_transfer,40,0.2324078386900065,0.0015897004539172303
w/o Item-CL,structure_transfer,50,0.2441369286799535,0.0016770965862289036
w/o User-CL,structure_transfer,10,0.1522671619745923,0.0038552989067276696
w/o User-CL,structure_transfer,20,0.18522807946366346,0.0021967812643709766
w/o User-CL,structure_transfer,30,0.2104711494529569,0.0022520035702533283
w/o User-CL,structure_transfer,40,0.22878920036674874,0.001699080684543488
w/o User-CL,structure_transfer,50,0.24400172346105645,0.0018992275406115237
EchoRec,structure_transfer,10,0.16075684812836516,0.0030371980483895893
EchoRec,structure_transfer,20,0.193437178989877,0.0035273770099888482
EchoRec,structure_transfer,30,0.2129175844114548,0.0021940811364449257
EchoRec,structure_transfer,40,0.22978380094410414,0.0013851297422062202
EchoRec,structure_transfer,50,0.24251475907344824,0.0008257824313975309
w/o Match,structure_transfer,10,0.14718431597069367,0.0034459937202131028
w/o Match,structure_transfer,20,0.18037449680321307,0.0011669977784280246
w/o Match,structure_transfer,30,0.20058193082674738,0.0010391111255528853
w/o Match,structure_transfer,40,0.21695363400570544,0.0011826027743385259
w/o Match,structure_transfer,50,0.23023775903270594,0.0010488872654234084
