model,view,k,mean,std
Pure-SI,semantic_alignment,10,0.026794669397223577,0.0002563694871913727
Pure-SI,semantic_alignment,20,0.03309203622098597,0.00017832931462010386
Pure-SI,semantic_alignment,30,0.038363047250297724,0.0005762826450350481
Pure-SI,semantic_alignment,40,0.04328920669123145,0.0003636928795343122
Pure-SI,semantic_alignment,50,0.047915719343888864,0.0005773822897884725
EchoRec,semantic_alignment,10,0.04490801601792314,0.0011152357151342613
EchoRec,semantic_alignment,20,0.053491335849710143,0.0011344792858511404
EchoRec,semantic_alignment,30,0.06135443854949021,0.0010931731128450016
EchoRec,semantic_alignment,40,0.06867028382174124,0.0010230183109662823
EchoRec,semantic_alignment,50,0.07547292624793651,0.0012189106137358674
Pure-SI,structure_transfer,10,0.09104629440620153,0.0015967299068258105
Pure-SI,structure_transfer,20,0.1154858824658022,0.0028392798613858595
Pure-SI,structure_transfer,30,0.13238219279364852,0.002238934349691881
Pure-SI,structure_transfer,40,0.14543411055900066,0.002110188354261422
Pure-SI,structure_transfer,50,0.1561312094558516,0.0021147351520502374
EchoRec,structure_transfer,10,0.16075684812836516,0.0030371980483895893
EchoRec,structure_transfer,20,0.193437178989877,0.0035273770099888482
EchoRec,structure_transfer,30,0.2129175844114548,0.0021940811364449257
EchoRec,structure_transfer,40,0.22978380094410414,0.0013851297422062202
EchoRec,structure_transfer,50,0.24251475907344824,0.0008257824313975309
