seed,model,view,k,value
42,Pure-SI,semantic_alignment,10,0.02654945574721116
42,Pure-SI,semantic_alignment,20,0.033327970562813974
42,Pure-SI,semantic_alignment,30,0.039036299386554486
42,Pure-SI,semantic_alignment,40,0.043797301858037825
42,Pure-SI,semantic_alignment,50,0.048724341728160515
52,Pure-SI,semantic_alignment,10,0.027148556723634122
52,Pure-SI,semantic_alignment,20,0.03289691170149807
52,Pure-SI,semantic_alignment,30,0.038424166328239244
52,Pure-SI,semantic_alignment,40,0.043104356232312895
52,Pure-SI,semantic_alignment,50,0.04760965703257718
62,Pure-SI,semantic_alignment,10,0.02668599572082544
62,Pure-SI,semantic_alignment,20,0.033051226398645876
62,Pure-SI,semantic_alignment,30,0.03762867603609944
62,Pure-SI,semantic_alignment,40,0.04296596198334363
62,Pure-SI,semantic_alignment,50,0.04741315927092891
42,EchoRec,semantic_alignment,10,0.04336695103142472
42,EchoRec,semantic_alignment,20,0.053039552350888655
42,EchoRec,semantic_alignment,30,0.06163585476308289
42,EchoRec,semantic_alignment,40,0.0693208956645498
42,EchoRec,semantic_alignment,50,0.07677666575697059
52,EchoRec,semantic_alignment,10,0.045969177279548794
52,EchoRec,semantic_alignment,20,0.05505045062160528
52,EchoRec,semantic_alignment,30,0.06253022004311469
52,EchoRec,semantic_alignment,40,0.06946407479933919
52,EchoRec,semantic_alignment,50,0.07579768953394933
62,EchoRec,semantic_alignment,10,0.0453879197427959
62,EchoRec,semantic_alignment,20,0.052384004576636486
62,EchoRec,semantic_alignment,30,0.05989724084227302
62,EchoRec,semantic_alignment,40,0.06722588100133474
62,EchoRec,semantic_alignment,50,0.07384442345288961
42,Pure-SI,structure_transfer,10,0.09139326445827993
42,Pure-SI,structure_transfer,20,0.11468030562736496
42,Pure-SI,structure_transfer,30,0.13270480057702078
42,Pure-SI,structure_transfer,40,0.14537004228012249
42,Pure-SI,structure_transfer,50,0.156034183317651
52,Pure-SI,structure_transfer,10,0.09280517281136476
52,Pure-SI,structure_transfer,20,0.11929536277965071
52,Pure-SI,structure_transfer,30,0.1349487422149039
52,Pure-SI,structure_transfer,40,0.14804999140004993
52,Pure-SI,structure_transfer,50,0.15876837016249448
62,Pure-SI,structure_transfer,10,0.08894044594895988
62,Pure-SI,structure_transfer,20,0.1124819789903909
62,Pure-SI,structure_transfer,30,0.12949303558902087
62,Pure-SI,structure_transfer,40,0.1428822979968295
62,Pure-SI,structure_transfer,50,0.1535910748874093
42,EchoRec,structure_transfer,10,0.1646440030128111
42,EchoRec,structure_transfer,20,0.19741013248385791
42,EchoRec,structure_transfer,30,0.21521720407447617
42,EchoRec,structure_transfer,40,0.23165928505405856
42,EchoRec,structure_transfer,50,0.24367489672134549
52,EchoRec,structure_transfer,10,0.1603957934050813
52,EchoRec,structure_transfer,20,0.1940632322918803
52,EchoRec,structure_transfer,30,0.21357188103579408
52,EchoRec,structure_transfer,40,0.22933574870839796
52,EchoRec,structure_transfer,50,0.242050601484744
62,EchoRec,structure_transfer,10,0.1572307479672031
62,EchoRec,structure_transfer,20,0.18883817219389276
62,EchoRec,structure_transfer,30,0.20996366812409423
62,EchoRec,structure_transfer,40,0.22835636906985585
62,EchoRec,structure_transfer,50,0.24181877901425533
