dataset,variant,PreAlign20,Jaccard20,RBO20,NDCG10
Movies,Pure-SI,0.03755852903262679,0.04652000879269453,0.04627040850220444,0.3657205333053667
Movies,w/o Item-CL,0.03867078063490601,0.08307271943936753,0.09256656527450646,0.3944987650678639
Movies,w/o User-CL,0.04714855178192495,0.09953377945098207,0.11061203999091684,0.4071538273976983
Movies,EchoRec,0.04707568280653098,0.10527014834369915,0.12343539864686105,0.4087506784340829
Movies,w/o Match,0.04707568280653098,0.0998594703512427,0.10968451122709877,0.3986488170156821
Scientific,Pure-SI,0.0558839373919656,0.061337132745663436,0.06545510858821901,0.3137168779068182
Scientific,w/o Item-CL,0.05476026214249411,0.1120745145920529,0.12323438526052949,0.3777012957948171
Scientific,w/o User-CL,0.05190788353383088,0.13305236831297831,0.15023403534823723,0.3787100215249229
Scientific,EchoRec,0.06540368872821069,0.16248118678479362,0.18852624803388363,0.3797431542088846
Scientific,w/o Match,0.06540368872821069,0.1907425456901393,0.20105179959489372,0.3887751866748244
Electronics,Pure-SI,0.03384097452809249,0.029228956342446304,0.03681997993624514,0.2736444015873868
Electronics,w/o Item-CL,0.03528300750550533,0.061645547542406476,0.06970188885520377,0.3101423889607374
Electronics,w/o User-CL,0.021376695179537688,0.04527694956321061,0.053165110425620825,0.3024215343230055
Electronics,EchoRec,0.04996783356282416,0.08498641250459332,0.10355455436984758,0.3312627894345692
Electronics,w/o Match,0.04996783356282416,0.08482179158815654,0.09438103411052463,0.332654238512296
CDs,Pure-SI,0.03309203622098597,0.1154858824658022,0.1297467679557923,0.371782289249618
CDs,w/o Item-CL,0.046582130414656385,0.19976911810750966,0.24083773397658026,0.4368419125323692
CDs,w/o User-CL,0.0545497076210359,0.18522807946366346,0.21097215488949062,0.423618553963643
CDs,EchoRec,0.053491335849710143,0.193437178989877,0.2282640823608816,0.4274621712587958
CDs,w/o Match,0.053491335849710143,0.18037449680321307,0.20802867416265827,0.4272800984303624
