dataset,variant,d_PreAlign20,d_Jaccard20,d_RBO20,d_NDCG10
Movies,w/o Item-CL,0.0011122516022792212,0.036552710646673,0.046296156772302026,0.02877823176249722
Movies,w/o User-CL,0.009590022749298162,0.053013770658287544,0.06434163148871241,0.041433294092331596
Movies,EchoRec,0.009517153773904191,0.05875013955100462,0.07716499014465661,0.043030145128716224
Movies,w/o Match,0.009517153773904191,0.053339461558548164,0.06341410272489434,0.03292828371031542
Scientific,w/o Item-CL,-0.0011236752494714897,0.05073738184638947,0.057779276672310476,0.06398441788799891
Scientific,w/o User-CL,-0.003976053858134723,0.07171523556731488,0.08477892676001822,0.06499314361810471
Scientific,EchoRec,0.009519751336245087,0.10114405403913018,0.12307113944566461,0.06602627630206642
Scientific,w/o Match,0.009519751336245087,0.12940541294447586,0.1355966910066747,0.07505830876800623
Electronics,w/o Item-CL,0.001442032977412841,0.03241659119996017,0.03288190891895863,0.03649798737335064
Electronics,w/o User-CL,-0.012464279348554801,0.016047993220764303,0.016345130489375685,0.028777132735618716
Electronics,EchoRec,0.01612685903473167,0.055757456162147015,0.06673457443360244,0.05761838784718243
Electronics,w/o Match,0.01612685903473167,0.05559283524571024,0.057561054174279494,0.05900983692490919
CDs,w/o Item-CL,0.013490094193670414,0.08428323564170746,0.11109096602078797,0.06505962328275122
CDs,w/o User-CL,0.02145767140004993,0.06974219699786126,0.08122538693369832,0.05183626471402503
CDs,EchoRec,0.020399299628724173,0.0779512965240748,0.09851731440508932,0.05567988200917784
CDs,w/o Match,0.020399299628724173,0.06488861433741087,0.07828190620686598,0.05549780918074443
