model,view,k,mean,std
Pure-SI,semantic_alignment,10,0.02744625452520189,0.001178420782905803
Pure-SI,semantic_alignment,20,0.03384097452809249,0.0004276084659274704
Pure-SI,semantic_alignment,30,0.040816313710256215,0.000705385509488526
Pure-SI,semantic_alignment,40,0.047736553492947593,0.0007140527076434267
Pure-SI,semantic_alignment,50,0.054700227485501234,0.0007402681588531819
w/o Item-CL,semantic_alignment,10,0.02789081773060101,0.001328597155709382
w/o Item-CL,semantic_alignment,20,0.03528300750550533,0.0008502380318535575
w/o Item-CL,semantic_alignment,30,0.04203522044550567,0.0005660880214032359
w/o Item-CL,semantic_alignment,40,0.04839802254254184,0.0007869402517981423
w/o Item-CL,semantic_alignment,50,0.05411219219875372,0.0006695268667968626
w/o User-CL,semantic_alignment,10,0.015600163052175436,0.0001729131287614426
w/o User-CL,semantic_alignment,20,0.021376695179537688,2.9844955910242625e-05
w/o User-CL,semantic_alignment,30,0.026651958779613984,0.00010183827578341612
w/o User-CL,semantic_alignment,40,0.031898275717022,0.0005069124360945677
w/o User-CL,semantic_alignment,50,0.037188407555843794,0.000663748291209972
EchoRec,semantic_alignment,10,0.042088603461668476,0.0019388466166910434
EchoRec,semantic_alignment,20,0.04996783356282416,0.0014262716279001089
EchoRec,semantic_alignment,30,0.057028603998186156,0.001145577526970878
EchoRec,semantic_alignment,40,0.06378345345244706,0.0013679941679151082
EchoRec,semantic_alignment,50,0.07008340483310639,0.0014900594622019709
w/o Match,semantic_alignment,10,0.042088603461668476,0.0019388466166910434
w/o Match,semantic_alignment,20,0.04996783356282416,0.0014262716279001089
w/o Match,semantic_alignment,30,0.057028603998186156,0.001145577526970878
w/o Match,semantic_alignment,40,0.06378345345244706,0.0013679941679151082
w/o Match,semantic_alignment,50,0.07008340483310639,0.0014900594622019709
Pure-SI,structure_transfer,10,0.021519370321227905,0.0014239214905092585
Pure-SI,structure_transfer,20,0.029228956342446304,0.0017056800524563958
Pure-SI,structure_transfer,30,0.036976893956868734,0.0016530488220388375
Pure-SI,structure_transfer,40,0.04391687452879714,0.001866283877003771
Pure-SI,structure_transfer,50,0.050195750013207786,0.0017367837291614014
w/o Item-CL,structure_transfer,10,0.04559063398188785,0.0018904352324717758
w/o Item-CL,structure_transfer,20,0.061645547542406476,0.0016666122088357732
w/o Item-CL,structure_transfer,30,0.07479565910999397,0.0011800532044070147
w/o Item-CL,structure_transfer,40,0.08565080463600731,0.0015288522584402749
w/o Item-CL,structure_transfer,50,0.09548221198952465,0.0014373519629912847
w/o User-CL,structure_transfer,10,0.034258633165366904,0.0012318590121160986
w/o User-CL,structure_transfer,20,0.04527694956321061,0.0019215467009690776
w/o User-CL,structure_transfer,30,0.05417933007071529,0.0014683733857707786
w/o User-CL,structure_transfer,40,0.06265276344617136,0.001504605123660782
w/o User-CL,structure_transfer,50,0.07029997769469147,0.0012840134909381895
EchoRec,structure_transfer,10,0.06968175167052874,0.0029338955968023785
EchoRec,structure_transfer,20,0.08498641250459332,0.0021572562246115414
EchoRec,structure_transfer,30,0.09812024984504684,0.002436835064719117
EchoRec,structure_transfer,40,0.10806546535529206,0.0020398459597290594
EchoRec,structure_transfer,50,0.1176990200712562,0.0024374317891389962
w/o Match,structure_transfer,10,0.06524794326187515,0.0030472355952906893
w/o Match,structure_transfer,20,0.08482179158815654,0.002716728020571516
w/o Match,structure_transfer,30,0.10033297979045543,0.002795119995725996
w/o Match,structure_transfer,40,0.11327570849110713,0.002988776865340196
w/o Match,structure_transfer,50,0.12512079321138891,0.0031020046847506197
