model,view,k,mean,std
Pure-SI,semantic_alignment,10,0.03091348469212246,0.0003889191986182742
Pure-SI,semantic_alignment,20,0.03755852903262679,0.0010223054294180673
Pure-SI,semantic_alignment,30,0.04487767445673404,0.0010682497020847426
Pure-SI,semantic_alignment,40,0.05250561043297026,0.0009231711459103465
Pure-SI,semantic_alignment,50,0.059553366516643426,0.0008756730963509722
w/o Item-CL,semantic_alignment,10,0.03150057128114404,0.0017733057625762144
w/o Item-CL,semantic_alignment,20,0.03867078063490601,0.001225077020904971
w/o Item-CL,semantic_alignment,30,0.046673861154315134,0.0008990987283390756
w/o Item-CL,semantic_alignment,40,0.054118001825200567,0.00013291159458300592
w/o Item-CL,semantic_alignment,50,0.061723072673674474,0.00022602527934201122
w/o User-CL,semantic_alignment,10,0.035454991645781114,0.0018725502277384353
w/o User-CL,semantic_alignment,20,0.04714855178192495,0.0006552226335433493
w/o User-CL,semantic_alignment,30,0.05727569481386854,0.0003099803910866221
w/o User-CL,semantic_alignment,40,0.06738107718025856,0.0002846957255951106
w/o User-CL,semantic_alignment,50,0.07630318261384199,0.000707895960679745
EchoRec,semantic_alignment,10,0.03806785755237768,0.0011450833917999595
EchoRec,semantic_alignment,20,0.04707568280653098,0.00041625941636823897
EchoRec,semantic_alignment,30,0.055913758406809906,0.0007389851607169135
EchoRec,semantic_alignment,40,0.06511917684191866,0.0005587916664035581
EchoRec,semantic_alignment,50,0.07367059414601697,0.0005900095233605973
w/o Match,semantic_alignment,10,0.03806785755237768,0.0011450833917999595
w/o Match,semantic_alignment,20,0.04707568280653098,0.00041625941636823897
w/o Match,semantic_alignment,30,0.055913758406809906,0.0007389851607169135
w/o Match,semantic_alignment,40,0.06511917684191866,0.0005587916664035581
w/o Match,semantic_alignment,50,0.07367059414601697,0.0005900095233605973
Pure-SI,structure_transfer,10,0.03146806322619016,0.0007573514506847824
Pure-SI,structure_transfer,20,0.04652000879269453,0.0008628611256006198
Pure-SI,structure_transfer,30,0.060367971531359456,0.0006144874866199498
Pure-SI,structure_transfer,40,0.07179064851572087,0.0008957284048936854
Pure-SI,structure_transfer,50,0.08172152671131773,0.0006136916463562142
w/o Item-CL,structure_transfer,10,0.06164875880626655,0.0017063719932240522
w/o Item-CL,structure_transfer,20,0.08307271943936753,0.002611805676598112
w/o Item-CL,structure_transfer,30,0.10059409827428777,0.003030690721517415
w/o Item-CL,structure_transfer,40,0.11607343987227603,0.003004076663734099
w/o Item-CL,structure_transfer,50,0.12940041367804067,0.0035455956012427027
w/o User-CL,structure_transfer,10,0.074561675209895,0.0012781425334498608
w/o User-CL,structure_transfer,20,0.09953377945098207,0.002157257915217825
w/o User-CL,structure_transfer,30,0.11945242272327716,0.00236783364433482
w/o User-CL,structure_transfer,40,0.13744842546391098,0.003283746985219667
w/o User-CL,structure_transfer,50,0.15284406671273854,0.003075951977995521
EchoRec,structure_transfer,10,0.08166291813621535,0.0022426797801783404
EchoRec,structure_transfer,20,0.10527014834369915,0.001645033027987777
EchoRec,structure_transfer,30,0.12437469666676208,0.003036431339151842
EchoRec,structure_transfer,40,0.14009679176010134,0.0032841168073580555
EchoRec,structure_transfer,50,0.15383502358944692,0.00428331965467794
w/o Match,structure_transfer,10,0.0734498551557375,0.002068678899802903
w/o Match,structure_transfer,20,0.0998594703512427,0.001003050503144131
w/o Match,structure_transfer,30,0.12114272701001427,0.001615838707804332
w/o Match,structure_transfer,40,0.13822695358565854,0.0020800159436977998
w/o Match,structure_transfer,50,0.15321479302932353,0.0030099459564824835
