model,view,k,mean,std
Pure-SI,semantic_alignment,10,0.02744625452520189,0.001178420782905803
Pure-SI,structure_transfer,10,0.021519370321227905,0.0014239214905092585
EchoRec,semantic_alignment,10,0.042088603461668476,0.0019388466166910434
EchoRec,structure_transfer,10,0.06968175167052874,0.0029338955968023785
Pure-SI,semantic_alignment,20,0.03384097452809249,0.0004276084659274704
Pure-SI,structure_transfer,20,0.029228956342446304,0.0017056800524563958
EchoRec,semantic_alignment,20,0.04996783356282416,0.0014262716279001089
EchoRec,structure_transfer,20,0.08498641250459332,0.0021572562246115414
Pure-SI,semantic_alignment,30,0.040816313710256215,0.000705385509488526
Pure-SI,structure_transfer,30,0.036976893956868734,0.0016530488220388375
EchoRec,semantic_alignment,30,0.057028603998186156,0.001145577526970878
EchoRec,structure_transfer,30,0.09812024984504684,0.002436835064719117
Pure-SI,semantic_alignment,40,0.047736553492947593,0.0007140527076434267
Pure-SI,structure_transfer,40,0.04391687452879714,0.001866283877003771
EchoRec,semantic_alignment,40,0.06378345345244706,0.0013679941679151082
EchoRec,structure_transfer,40,0.10806546535529206,0.0020398459597290594
Pure-SI,semantic_alignment,50,0.054700227485501234,0.0007402681588531819
Pure-SI,structure_transfer,50,0.050195750013207786,0.0017367837291614014
EchoRec,semantic_alignment,50,0.07008340483310639,0.0014900594622019709
EchoRec,structure_transfer,50,0.1176990200712562,0.0024374317891389962
