model,view,k,mean,std
Pure-SI,semantic_alignment,10,0.03091348469212246,0.0003889191986182742
Pure-SI,structure_transfer,10,0.03146806322619016,0.0007573514506847824
EchoRec,semantic_alignment,10,0.03806785755237768,0.0011450833917999595
EchoRec,structure_transfer,10,0.08166291813621535,0.0022426797801783404
Pure-SI,semantic_alignment,20,0.03755852903262679,0.0010223054294180673
Pure-SI,structure_transfer,20,0.04652000879269453,0.0008628611256006198
EchoRec,semantic_alignment,20,0.04707568280653098,0.00041625941636823897
EchoRec,structure_transfer,20,0.10527014834369915,0.001645033027987777
Pure-SI,semantic_alignment,30,0.04487767445673404,0.0010682497020847426
Pure-SI,structure_transfer,30,0.060367971531359456,0.0006144874866199498
EchoRec,semantic_alignment,30,0.055913758406809906,0.0007389851607169135
EchoRec,structure_transfer,30,0.12437469666676208,0.003036431339151842
Pure-SI,semantic_alignment,40,0.05250561043297026,0.0009231711459103465
Pure-SI,structure_transfer,40,0.07179064851572087,0.0008957284048936854
EchoRec,semantic_alignment,40,0.06511917684191866,0.0005587916664035581
EchoRec,structure_transfer,40,0.14009679176010134,0.0032841168073580555
Pure-SI,semantic_alignment,50,0.059553366516643426,0.0008756730963509722
Pure-SI,structure_transfer,50,0.08172152671131773,0.0006136916463562142
EchoRec,semantic_alignment,50,0.07367059414601697,0.0005900095233605973
EchoRec,structure_transfer,50,0.15383502358944692,0.00428331965467794
