model,view,k,mean,std
Pure-SI,semantic_alignment,10,0.04709058357936067,0.0013981253389711806
Pure-SI,structure_transfer,10,0.04387786506865454,0.0011541231592105722
EchoRec,semantic_alignment,10,0.05480804764550895,0.0027283786532251468
EchoRec,structure_transfer,10,0.1338025631775632,0.0037923268562273706
Pure-SI,semantic_alignment,20,0.0558839373919656,0.0015719247534181542
Pure-SI,structure_transfer,20,0.061337132745663436,0.0015237950896739788
EchoRec,semantic_alignment,20,0.06540368872821069,0.002682530123997021
EchoRec,structure_transfer,20,0.16248118678479362,0.003436147814123188
Pure-SI,semantic_alignment,30,0.06587266253505272,0.0018052776912820501
Pure-SI,structure_transfer,30,0.07579909231806477,0.0010617907319554415
EchoRec,semantic_alignment,30,0.07504519799027341,0.0025761201287706984
EchoRec,structure_transfer,30,0.1851697125168179,0.0027233519462653024
Pure-SI,semantic_alignment,40,0.07524385351073991,0.0014301339094669127
Pure-SI,structure_transfer,40,0.08832984755197511,0.0007789865035286316
EchoRec,semantic_alignment,40,0.08364940640939052,0.002019106221570178
EchoRec,structure_transfer,40,0.2033549267670005,0.002966685777999299
Pure-SI,semantic_alignment,50,0.08333798836660007,0.0014097102341749299
Pure-SI,structure_transfer,50,0.09954702380407669,0.000343105408909425
EchoRec,semantic_alignment,50,0.09216591970671599,0.0017441997536825273
EchoRec,structure_transfer,50,0.218510580963956,0.002231914447254216
