model,view,k,mean,std
Pure-SI,semantic_alignment,10,0.0210118466414906,0.0017219516102563795
Pure-SI,structure_transfer,10,0.06360099184441288,0.0012887232422058496
Pure-SI,semantic_alignment,20,0.027625923401526756,0.0016848443966871007
Pure-SI,structure_transfer,20,0.0790441291292547,0.0009683740598330926
Pure-SI,semantic_alignment,30,0.03364404477618129,0.0015003085943571515
Pure-SI,structure_transfer,30,0.09119644303415719,0.0015849225598649763
Pure-SI,semantic_alignment,40,0.03914568831261458,0.0010480046361889647
Pure-SI,structure_transfer,40,0.10138934985243768,0.002050849012537953
Pure-SI,semantic_alignment,50,0.044999956370469274,0.0008233237469194373
Pure-SI,structure_transfer,50,0.11049263944642392,0.0022645422031753746
EchoRec,semantic_alignment,10,0.05480804764550895,0.0027283786532251468
EchoRec,structure_transfer,10,0.1338025631775632,0.0037923268562273706
EchoRec,semantic_alignment,20,0.06540368872821069,0.002682530123997021
EchoRec,structure_transfer,20,0.16248118678479362,0.003436147814123188
EchoRec,semantic_alignment,30,0.07504519799027341,0.0025761201287706984
EchoRec,structure_transfer,30,0.1851697125168179,0.0027233519462653024
EchoRec,semantic_alignment,40,0.08364940640939052,0.002019106221570178
EchoRec,structure_transfer,40,0.2033549267670005,0.002966685777999299
EchoRec,semantic_alignment,50,0.09216591970671599,0.0017441997536825273
EchoRec,structure_transfer,50,0.218510580963956,0.002231914447254216
