model,view,k,mean,std
Pure-SI,semantic_alignment,10,0.04709058357936067,0.0013981253389711806
Pure-SI,semantic_alignment,20,0.0558839373919656,0.0015719247534181542
Pure-SI,semantic_alignment,30,0.06587266253505272,0.0018052776912820501
Pure-SI,semantic_alignment,40,0.07524385351073991,0.0014301339094669127
Pure-SI,semantic_alignment,50,0.08333798836660007,0.0014097102341749299
w/o Item-CL,semantic_alignment,10,0.04488320411385427,0.0029953472367821588
w/o Item-CL,semantic_alignment,20,0.05476026214249411,0.002622543765145963
w/o Item-CL,semantic_alignment,30,0.06405462342573809,0.0026541125516468195
w/o Item-CL,semantic_alignment,40,0.07222498154287176,0.0018362130470822556
w/o Item-CL,semantic_alignment,50,0.08010135033595941,0.0013895380835003415
w/o User-CL,semantic_alignment,10,0.041078328362384085,0.0028014492299528347
w/o User-CL,semantic_alignment,20,0.05190788353383088,0.0036980197044237943
w/o User-CL,semantic_alignment,30,0.06214172069420665,0.0033615971240369942
w/o User-CL,semantic_alignment,40,0.07101895784270024,0.0030593303492834887
w/o User-CL,semantic_alignment,50,0.07959339366059281,0.002480259339265017
EchoRec,semantic_alignment,10,0.05480804764550895,0.0027283786532251468
EchoRec,semantic_alignment,20,0.06540368872821069,0.002682530123997021
EchoRec,semantic_alignment,30,0.07504519799027341,0.0025761201287706984
EchoRec,semantic_alignment,40,0.08364940640939052,0.002019106221570178
EchoRec,semantic_alignment,50,0.09216591970671599,0.0017441997536825273
w/o Match,semantic_alignment,10,0.05480804764550895,0.0027283786532251468
w/o Match,semantic_alignment,20,0.06540368872821069,0.002682530123997021
w/o Match,semantic_alignment,30,0.07504519799027341,0.0025761201287706984
w/o Match,semantic_alignment,40,0.08364940640939052,0.002019106221570178
w/o Match,semantic_alignment,50,0.09216591970671599,0.0017441997536825273
Pure-SI,structure_transfer,10,0.04387786506865454,0.0011541231592105722
Pure-SI,structure_transfer,20,0.061337132745663436,0.0015237950896739788
Pure-SI,structure_transfer,30,0.07579909231806477,0.0010617907319554415
Pure-SI,structure_transfer,40,0.08832984755197511,0.0007789865035286316
Pure-SI,structure_transfer,50,0.09954702380407669,0.000343105408909425
w/o Item-CL,structure_transfer,10,0.08676096569982017,0.0043052092491202894
w/o Item-CL,structure_transfer,20,0.1120745145920529,0.004703967930487715
w/o Item-CL,structure_transfer,30,0.13040664412725725,0.004183067812320778
w/o Item-CL,structure_transfer,40,0.14656262478853302,0.003937356854700001
w/o Item-CL,structure_transfer,50,0.1607386306316539,0.0037631673361621957
w/o User-CL,structure_transfer,10,0.10671875775010449,0.002043413821480636
w/o User-CL,structure_transfer,20,0.13305236831297831,0.002151642602393596
w/o User-CL,structure_transfer,30,0.15106426492665279,0.0009008104865093004
w/o User-CL,structure_transfer,40,0.16598473511650447,0.001160484195435158
w/o User-CL,structure_transfer,50,0.1784878009760005,0.0010342823897405116
EchoRec,structure_transfer,10,0.1338025631775632,0.0037923268562273706
EchoRec,structure_transfer,20,0.16248118678479362,0.003436147814123188
EchoRec,structure_transfer,30,0.1851697125168179,0.0027233519462653024
EchoRec,structure_transfer,40,0.2033549267670005,0.002966685777999299
EchoRec,structure_transfer,50,0.218510580963956,0.002231914447254216
w/o Match,structure_transfer,10,0.15114404114404115,0.0022482437598062943
w/o Match,structure_transfer,20,0.1907425456901393,0.0026952324816986654
w/o Match,structure_transfer,30,0.22079227237215307,0.002687211117957295
w/o Match,structure_transfer,40,0.24213951630859132,0.0018737509729774488
w/o Match,structure_transfer,50,0.26077757983501587,0.00138569675676742
